# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_model
# start_datetime = 2023-05-02 19:49:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmp3g0x3jh1/7nxfj759.json
# init = 2 (Default)
# random
#   seed = 6022023
# output
#   file = /home/lab5/output/model-20230502194923_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta,lambda.1,lambda.2,lambda.3,lambda.4,lambda.5,lambda.6,lambda.7,lambda.8,lambda.9,lambda.10
# Adaptation terminated
# Step size = 0.0908687
# Diagonal elements of inverse mass matrix:
# 0.24776, 0.0841698
514.934,0.995403,0.0908687,4,23,0,-514.022,4.58883,-0.758982,35.2725,32.517,28.8816,27.0471,25.863,25.1473,25.6523,24.5624,21.4637,22.2069
516.258,1,0.0908687,2,7,0,-515.159,4.46806,-0.79436,29.8004,27.3684,24.1747,22.57,21.5369,20.9135,21.3533,20.4047,17.7188,18.3614
515.249,0.988109,0.0908687,4,21,0,-514.356,4.9297,-0.991144,36.2422,32.5899,27.9154,25.6227,24.1678,23.2981,23.911,22.593,18.9449,19.8061
515.126,0.99523,0.0908687,2,7,0,-514.775,4.95473,-1.0041,36.5156,32.7902,28.0301,25.6992,24.2214,23.3386,23.9607,22.6232,18.9266,19.7984
516.483,0.991592,0.0908687,4,19,0,-514.849,4.3699,-0.73419,29.3028,27.0855,24.1507,22.6652,21.7047,21.1234,21.5336,20.6479,18.1227,18.7294
517.02,0.997966,0.0908687,5,51,0,-516.098,3.99829,-0.505005,27.5446,26.0934,24.1141,23.0838,22.4064,21.9919,22.2848,21.6502,19.7922,20.2456
516.465,0.967493,0.0908687,5,43,0,-516.11,3.57462,-0.276135,24.568,23.8516,22.8446,22.3056,21.9453,21.7224,21.8801,21.5372,20.506,20.7615
516.781,0.999305,0.0908687,3,11,0,-516.431,3.65824,-0.259949,27.3012,26.5511,25.4945,24.9279,24.5486,24.3138,24.4799,24.1186,23.03,23.3
517.155,0.99973,0.0908687,5,39,0,-516.12,3.9286,-0.433303,28.3043,27.02,25.2516,24.3231,23.7093,23.3325,23.5989,23.0211,21.3153,21.7335
516.772,0.999912,0.0908687,5,47,0,-516.594,3.45917,-0.178558,24.9747,24.5013,23.8273,23.4623,23.2165,23.0637,23.1719,22.9364,22.2201,22.3988
516.891,0.866173,0.0908687,3,11,0,-515.73,3.53281,-0.21174,25.7043,25.1276,24.3101,23.8691,23.5728,23.389,23.5191,23.2359,22.378,22.5915
516.01,0.995011,0.0908687,5,39,0,-515.327,4.7877,-0.955332,33.0037,29.7919,25.6618,23.6273,22.3328,21.5577,22.104,20.9284,17.6612,18.4343
514.016,0.801848,0.0908687,3,15,0,-512.94,5.02549,-1.0205,38.3344,34.363,29.2995,26.825,25.258,24.3227,24.9817,23.5651,19.6573,20.5779
515.647,0.999136,0.0908687,2,7,0,-513.912,4.90759,-1.02644,33.7984,30.2776,25.7921,23.6017,22.2152,21.3879,21.9708,20.7179,17.264,18.0773
514.582,0.875916,0.0908687,2,7,0,-514.086,4.89836,-1.06543,31.7688,28.3408,23.9956,21.8839,20.551,19.7571,20.3164,19.1151,15.8184,16.5926
515.489,0.892011,0.0908687,2,3,0,-514.071,4.96683,-1.03602,35.3999,31.6798,26.9463,24.6374,23.177,22.306,22.9197,21.6008,17.9691,18.8237
515.846,1,0.0908687,3,15,0,-514.942,4.82719,-0.983273,33.0609,29.7543,25.5179,23.438,22.1174,21.3277,21.8843,20.6873,17.3712,18.1544
516.541,0.961167,0.0908687,5,51,0,-514.489,3.63846,-0.238984,27.5357,26.8394,25.8559,25.3271,24.9726,24.7529,24.9084,24.5702,23.5487,23.8025
517.161,0.996603,0.0908687,5,35,0,-515.669,3.8325,-0.388611,27.3116,26.1975,24.6545,23.8398,23.2996,22.9672,23.2022,22.6921,21.1781,21.5505
516.506,0.885197,0.0908687,5,35,0,-515.807,4.18501,-0.633153,27.9198,26.0881,23.6314,22.3725,21.5524,21.0537,21.4058,20.6444,18.4478,18.9792
516.817,0.999553,0.0908687,3,15,0,-516.347,4.32335,-0.649996,31.3406,29.2317,26.4093,24.966,24.027,23.4564,23.8593,22.9884,20.4811,21.0869
515.557,0.998085,0.0908687,5,55,0,-515.436,4.922,-1.03876,33.7231,30.1703,25.6513,23.4479,22.0544,21.2234,21.8089,20.5507,17.0872,17.9021
